name,latitude,longitude,area_1,area_2,address,phone,opening_hours_all,rating,avg_price,image
IKEA 宜家家居餐廳,24.1473199,120.6432402,台中市,南屯區,臺中市南屯區向上路二段168號,,"['星期一 10:00-22:00', '星期二 10:00-22:00', '星期三 10:00-22:00', '星期四 10:00-22:00', '星期五 10:00-22:00', '星期六 10:00-22:00', '星期日 10:00-22:00']",4.4,35,food_image/IKEA 宜家家居餐廳.jpg
屋馬燒肉 文心店,24.1510283,120.6470016,台中市,南屯區,臺中市南屯區文心路一段436號,04-23106699,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.5,940,food_image/屋馬燒肉 文心店.jpg
屋馬燒肉 中友店,24.1531481,120.684034,台中市,北區,台中市北區育才北路69號,04-22260888,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.7,1300,food_image/屋馬燒肉 中友店.jpg
くら寿司 藏壽司,24.1297616,120.6457655,台中市,南屯區,台中市南屯區文心南路289號,04-24721221,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.5,400,food_image/くら寿司 藏壽司.jpg
くら寿司 藏壽司 台中港三井OUTLET店,24.2588671,120.5184133,台中市,梧棲區,臺中市梧棲區臺灣大道十段168號2樓,04-26568956,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-21:30', '星期六 10:30-21:30', '星期日 10:30-21:30']",4.5,200,food_image/くら寿司 藏壽司 台中港三井OUTLET店.jpg
くら寿司 藏壽司 台中廣三SOGO店,24.1556104,120.6615703,台中市,西區,臺中市西區臺灣大道二段459號,04-23286726,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.3,400,food_image/くら寿司 藏壽司 台中廣三SOGO店.jpg
勤美誠品綠園道,24.1513049,120.6640025,台中市,西區,臺中市西區公益路68號,04-23281000,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-21:30', '星期六 11:00-21:30', '星期日 11:00-21:30']",4.4,75,food_image/勤美誠品綠園道.jpg
中友百貨,24.1522173,120.684783,台中市,北區,臺中市北區三民路三段161號,04-22253456,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-21:30']",4.5,149,food_image/中友百貨.jpg
屋馬燒肉文心秀泰店,24.1299269,120.6456024,台中市,南屯區,臺中市南屯區文心南路289號5樓,04-24750777,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.9,1200,food_image/屋馬燒肉文心秀泰店.jpg
老井極上燒肉 崇德店,24.1746326,120.6860851,台中市,北屯區,臺中市北屯區崇德路二段256號,04-22478590,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.8,1900,food_image/老井極上燒肉 崇德店.jpg
台中大遠百,24.164547,120.6445855,台中市,西屯區,臺中市西屯區臺灣大道三段251號,04-37022168,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-22:00']",4.2,0,food_image/台中大遠百.jpg
燒瓶子。大肆の鍋 北屯店,24.1758598,120.722874,台中市,北屯區,臺中市北屯區東山路一段320號,04-24365522,"['星期一 00:00-02:00, 11:00-00:00', '星期二 00:00-02:00, 11:00-00:00', '星期三 00:00-02:00, 11:00-00:00', '星期四 00:00-02:00, 11:00-00:00', '星期五 00:00-02:00, 11:00-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.8,400,food_image/燒瓶子大肆の鍋 北屯店.jpg
焼肉スマイル（燒肉Smile）台中一中店,24.1488908,120.6865082,台中市,北區,臺中市北區育才街3號1樓,04-22211166,"['星期一 00:00-04:00, 11:00-00:00', '星期二 00:00-04:00, 11:00-00:00', '星期三 00:00-04:00, 11:00-00:00', '星期四 00:00-04:00, 11:00-00:00', '星期五 00:00-04:00, 11:00-00:00', '星期六 00:00-04:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-04:00']",4.7,500,food_image/焼肉スマイル燒肉Smile台中一中店.jpg
台中市第四信用合作社,24.1390204,120.6819297,台中市,中區,臺中市中區中山路72號,04-22271966,"['星期一 10:00-21:00', '星期二 10:00-21:00', '星期三 10:00-21:00', '星期四 10:00-21:00', '星期五 10:00-21:00', '星期六 10:00-21:00', '星期日 10:00-21:00']",4.3,250,food_image/台中市第四信用合作社.jpg
麗寶OUTLET MALL,24.3245903,120.6993847,台中市,后里區,臺中市後裏區福容路201號,04-37022888,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-22:00', '星期六 10:30-22:00', '星期日 10:30-21:30']",4.2,200,food_image/麗寶OUTLET MALL.jpg
茶六燒肉堂 朝富店,24.1631503,120.6352147,台中市,西屯區,臺中市西屯區朝富路258號,04-22587126,"['星期一 00:00-02:00, 11:00-00:00', '星期二 00:00-02:00, 11:00-00:00', '星期三 00:00-02:00, 11:00-00:00', '星期四 00:00-02:00, 11:00-00:00', '星期五 00:00-02:00, 11:00-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.5,1000,food_image/茶六燒肉堂 朝富店.jpg
昭日堂燒肉,24.1485096,120.6446752,台中市,南屯區,臺中市南屯區大墩十一街345號,04-22580588,"['星期一 11:00-15:00, 17:00-23:00', '星期二 11:00-15:00, 17:00-23:00', '星期三 11:00-15:00, 17:00-23:00', '星期四 11:00-15:00, 17:00-23:00', '星期五 11:00-15:00, 17:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.5,1133,food_image/昭日堂燒肉.jpg
赤鬼牛排 台灣大道店,24.1505984,120.6704788,台中市,西區,臺中市西區臺灣大道二段170號,04-22060078,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-23:00', '星期日 11:00-23:00']",3.9,500,food_image/赤鬼牛排 台灣大道店.jpg
石頭日式炭火燒肉,24.1657799,120.6633248,台中市,西屯區,臺中市西屯區漢口路二段148號,04-23175757,"['星期一 00:00-02:00, 17:30-00:00', '星期二 00:00-02:00, 17:30-00:00', '星期三 00:00-02:00, 17:30-00:00', '星期四 00:00-02:00, 17:30-00:00', '星期五 00:00-02:00, 17:30-00:00', '星期六 00:00-02:00, 17:30-00:00', '星期日 17:30-00:00, 00:00-02:00']",4.5,980,food_image/石頭日式炭火燒肉.jpg
柳川水岸景觀步道,24.1424817,120.6770897,台中市,中區,臺中市中區柳川西路三段,04-22289111,"['星期一 06:00-22:00', '星期二 06:00-22:00', '星期三 06:00-22:00', '星期四 06:00-22:00', '星期五 06:00-22:00', '星期六 06:00-00:00', '星期日 06:00-00:00']",4.2,0,food_image/柳川水岸景觀步道.jpg
燒肉風間,24.150664,120.647533,台中市,南屯區,臺中市南屯區公益路二段171之1號,04-23281855,"['星期一 11:30-16:00', '星期二 17:30-00:00', '星期三 11:30-16:00, 17:30-00:00', '星期四 11:30-16:00, 17:30-00:00', '星期五 11:30-16:00, 17:30-00:00', '星期六 11:30-16:00, 17:30-00:00', '星期日 11:30-16:00, 17:30-00:00']",4.6,6631,food_image/燒肉風間.jpg
森森燒肉 公益店,24.1506671,120.6460165,台中市,南屯區,臺中市南屯區公益路二段211號,04-22553361,"['星期一 11:00-23:00', '星期二 11:00-23:00', '星期三 11:00-23:00', '星期四 11:00-23:00', '星期五 11:00-23:00', '星期六 11:00-23:00', '星期日 11:00-23:00']",4.6,1000,food_image/森森燒肉 公益店.jpg
嵐山熟成牛かつ專売 台中西屯青海店,24.1763115,120.6359286,台中市,西屯區,臺中市西屯區福科二路95號,04-27003777,"['星期一 11:30-14:00, 17:00-20:30', '星期二 11:30-14:00, 17:00-20:30', '星期三 11:30-14:00, 17:00-20:30', '星期四 11:30-14:00, 17:00-20:30', '星期五 11:30-14:00, 17:00-20:30', '星期六 11:30-14:30, 17:00-20:30', '星期日 11:30-14:30, 17:00-20:30']",4.7,869,food_image/嵐山熟成牛かつ專売 台中西屯青海店.jpg
林酒店,24.1652159,120.6371926,台中市,西屯區,臺中市西屯區朝富路99號,04-22555555,"['星期一 24小時營業', '星期二 24小時營業', '星期三 24小時營業', '星期四 24小時營業', '星期五 24小時營業', '星期六 24小時營業', '星期日 24小時營業']",4.1,128,food_image/林酒店.jpg
赤腳ㄚ生態農莊,24.2159314,120.6705875,台中市,大雅區,臺中市大雅區雅潭路三段500號,04-25690735,"['星期一 09:30-18:00', '星期二 09:30-18:00', '星期三 09:30-18:00', '星期四 09:30-18:00', '星期五 09:30-18:00', '星期六 09:30-18:00', '星期日 09:30-18:00']",4.5,300,food_image/赤腳ㄚ生態農莊.jpg
享鴨 烤鴨與中華料理 台中公益店,24.1512518,120.6434959,台中市,南屯區,臺中市南屯區公益路二段252號,04-22583118,"['星期一 11:30-14:30, 17:30-22:00', '星期二 11:30-14:30, 17:30-22:00', '星期三 11:30-14:30, 17:30-22:00', '星期四 11:30-14:30, 17:30-22:00', '星期五 11:30-14:30, 17:30-22:00', '星期六 11:00-14:30, 17:00-22:00', '星期日 11:00-14:30, 17:00-22:00']",4.8,800,food_image/享鴨 烤鴨與中華料理 台中公益店.jpg
大坑東東芋圓,24.1797711,120.7410963,台中市,北屯區,臺中市北屯區東山路二段48之3號,04-22396349,"['星期一 09:00-22:00', '星期二 09:00-22:00', '星期三 09:00-22:00', '星期四 09:00-22:00', '星期五 09:00-22:00', '星期六 09:00-22:00', '星期日 09:00-22:00']",4,65,food_image/大坑東東芋圓.jpg
老井極上燒肉 美村店,24.1472045,120.6618026,台中市,西區,臺中市西區美村路一段289號,04-23015511,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.5,1689,food_image/老井極上燒肉 美村店.jpg
肉次方 燒肉放題 台中文心崇德店,24.1725855,120.6840755,台中市,北屯區,臺中市北屯區文心路四段585號1樓,04-22422899,"['星期一 11:30-23:00', '星期二 11:30-23:00', '星期三 11:30-23:00', '星期四 11:30-23:00', '星期五 11:00-00:00', '星期六 00:00-01:00, 11:00-00:00', '星期日 11:00-23:00, 00:00-01:00']",4.6,698,food_image/肉次方 燒肉放題 台中文心崇德店.jpg
JAI 宅,24.1485476,120.6834437,台中市,北區,臺中市北區三民路三段125號2樓,04-22278666,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']",4.4,500,food_image/JAI 宅.jpg
樂丘廚房 東海店,24.1818297,120.5917959,台中市,龍井區,臺中市龍井區臺灣大道五段3巷62弄13號,04-26528300,"['星期一 11:30-21:00', '星期二 11:30-21:00', '星期三 11:30-21:00', '星期四 11:30-21:00', '星期五 11:30-21:00', '星期六 11:00-21:00', '星期日 11:00-21:00']",4.6,400,food_image/樂丘廚房 東海店.jpg
嵐山熟成牛かつ專売 台中西區健行店,24.1561006,120.6627501,台中市,西區,臺中市西區健行路1058號,04-23230222,"['星期一 11:30-14:00, 17:00-20:30', '星期二 11:30-14:00, 17:00-20:30', '星期三 11:30-14:00, 17:00-20:30', '星期四 11:30-14:00, 17:00-20:30', '星期五 11:30-14:00, 17:00-20:30', '星期六 11:30-14:30, 17:00-20:30', '星期日 11:30-14:30, 17:00-20:30']",4.8,500,food_image/嵐山熟成牛かつ專売 台中西區健行店.jpg
老芋仔芋圓,24.1773053,120.7351793,台中市,北屯區,臺中市北屯區東山路一段408之2號,04-22395289,"['星期一 09:00-21:50', '星期二 09:00-21:50', '星期三 09:00-21:50', '星期四 09:00-21:50', '星期五 09:00-21:50', '星期六 09:00-21:50', '星期日 09:00-21:50']",4.4,60,food_image/老芋仔芋圓.jpg
凱恩斯岩燒,24.1714283,120.6856775,台中市,北屯區,臺中市北屯區崇德路二段138號,04-22318924,"['星期一 11:30-21:30', '星期二 11:30-21:30', '星期三 11:30-21:30', '星期四 11:30-21:30', '星期五 11:30-22:00', '星期六 11:30-22:00', '星期日 11:30-21:30']",4.7,1034,food_image/凱恩斯岩燒.jpg
泰丘鍋物,24.1493511,120.6852057,台中市,北區,臺中市北區一中街98號二樓,04-22298515,"['星期一 11:30-22:00', '星期二 11:30-22:00', '星期三 11:30-22:00', '星期四 11:30-22:00', '星期五 11:30-22:00', '星期六 11:30-22:00', '星期日 11:30-22:00']",4.2,300,food_image/泰丘鍋物.jpg
容燒居酒屋 南屯文心一店,24.1531734,120.6470387,台中市,南屯區,台中市南屯區文心路一段530號,04-23223070,"['星期一 00:00-02:00, 18:00-00:00', '星期二 00:00-02:00, 18:00-00:00', '星期三 00:00-02:00, 18:00-00:00', '星期四 00:00-02:00, 18:00-00:00', '星期五 00:00-02:00, 18:00-00:00', '星期六 00:00-02:00, 18:00-00:00', '星期日 18:00-00:00, 00:00-02:00']",4.8,450,food_image/容燒居酒屋 南屯文心一店.jpg
嚮辣 和牛麻辣鍋 台中五權西店,24.1398616,120.6473422,台中市,南屯區,臺中市南屯區五權西路二段271號,04-24720068,"['星期一 00:00-02:00, 11:30-00:00', '星期二 00:00-02:00, 11:30-00:00', '星期三 00:00-02:00, 11:30-00:00', '星期四 00:00-02:00, 11:30-00:00', '星期五 00:00-02:00, 11:30-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.7,800,food_image/嚮辣 和牛麻辣鍋 台中五權西店.jpg
裕元花園酒店,24.179803,120.624028,台中市,西屯區,臺中市西屯區臺灣大道四段610號,04-24656555,"['星期一 24小時營業', '星期二 24小時營業', '星期三 24小時營業', '星期四 24小時營業', '星期五 24小時營業', '星期六 24小時營業', '星期日 24小時營業']",4.3,500,food_image/裕元花園酒店.jpg
輕井澤 公益店,24.1511883,120.6540975,台中市,西區,臺中市西區公益路276號,04-23274747,"['星期一 00:00-02:00, 11:00-00:00', '星期二 00:00-02:00, 11:00-00:00', '星期三 00:00-02:00, 11:00-00:00', '星期四 00:00-02:00, 11:00-00:00', '星期五 00:00-02:00, 11:00-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.2,300,food_image/輕井澤 公益店.jpg
心之芳庭,24.1622626,120.7676748,台中市,北屯區,臺中市北屯區芳庭路1號,04-22398900,"['星期一 10:30-17:30', '星期二 10:30-17:30', '星期三 10:30-17:30', '星期四 10:30-17:30', '星期五 10:30-17:30', '星期六 10:00-17:30', '星期日 10:30-17:30']",4.3,550,food_image/心之芳庭.jpg
樂丘廚房 一中店,24.1493425,120.6852026,台中市,北區,臺中市北區一中街96號樓之2,04-22220330,"['星期一 11:30-20:30', '星期二 11:30-20:30', '星期三 11:30-20:30', '星期四 11:30-20:30', '星期五 11:30-20:30', '星期六 11:00-20:30', '星期日 11:00-20:30']",4.2,450,food_image/樂丘廚房 一中店.jpg
東山棧甕缸雞,24.1766848,120.7288766,台中市,北屯區,臺中市北屯區東山路一段380號,04-22399009,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-21:30', '星期六 11:00-21:30', '星期日 11:00-21:30']",4.2,590,food_image/東山棧甕缸雞.jpg
焼肉スマイル 台中景賢店,24.1669601,120.7247297,台中市,北屯區,臺中市北屯區景賢路226號,04-24351922,"['星期一 00:00-04:00, 11:00-00:00', '星期二 00:00-04:00, 11:00-00:00', '星期三 00:00-04:00, 11:00-00:00', '星期四 00:00-04:00, 11:00-00:00', '星期五 00:00-04:00, 11:00-00:00', '星期六 00:00-04:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-04:00']",4.6,350,food_image/焼肉スマイル 台中景賢店.jpg
金色三麥,24.1561179,120.6452844,台中市,西屯區,臺中市西屯區市政路20號,04-22555911,"['星期一 12:00-00:00', '星期二 12:00-00:00', '星期三 12:00-00:00', '星期四 12:00-00:00', '星期五 12:00-00:00', '星期六 12:00-00:00', '星期日 12:00-00:00']",4.3,600,food_image/金色三麥.jpg
吃茶三千 大英概念店,24.1545622,120.6485239,台中市,南屯區,臺中市南屯區大英街607號,04-23285535,"['星期一 10:00-22:00', '星期二 10:00-22:00', '星期三 10:00-22:00', '星期四 10:00-22:00', '星期五 10:00-22:00', '星期六 10:00-22:00', '星期日 10:00-22:00']",4.7,100,food_image/吃茶三千 大英概念店.jpg
KATZ 卡司 · 新時代大魯閣 (韓藝料理),24.1357726,120.6877477,台中市,西區,臺中市東區復興路四段186號7樓,04-22287786,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']",4.4,710,food_image/KATZ 卡司  新時代大魯閣 韓藝料理.jpg
淇里思崇德店,24.1856924,120.6855999,台中市,北屯區,臺中市北屯區山西路三段175號,04-24223700,"['星期一 11:00-14:30, 17:00-21:00', '星期二 11:00-14:30, 17:00-21:00', '星期三 11:00-14:30, 17:00-21:00', '星期四 11:00-14:30, 17:00-21:00', '星期五 11:00-14:30, 17:00-21:30', '星期六 11:00-15:00, 17:00-21:30', '星期日 11:00-15:00, 17:00-21:30']",4.9,900,food_image/淇里思崇德店.jpg
PUTIEN莆田 台中台灣大道店,24.1546656,120.6633663,台中市,西區,臺中市西區臺灣大道二段405號,04-23221788,"['星期一 11:30-14:00, 17:30-21:00', '星期二 11:30-14:00, 17:30-21:00', '星期三 11:30-14:00, 17:30-21:00', '星期四 11:30-14:00, 17:30-21:00', '星期五 11:30-14:00, 17:30-21:00', '星期六 11:00-14:00, 17:00-21:00', '星期日 11:00-14:00, 17:00-21:00']",4.6,800,food_image/PUTIEN莆田 台中台灣大道店.jpg
星月大地景觀餐廳,24.3334333,120.7023397,台中市,后里區,臺中市後裏區月眉北路486號,04-26831671,"['星期一 11:00-23:00', '星期二 11:00-23:00', '星期三 11:00-23:00', '星期四 11:00-23:00', '星期五 11:00-23:00', '星期六 11:00-23:00', '星期日 11:00-23:00']",4.1,700,food_image/星月大地景觀餐廳.jpg
但馬屋涮涮鍋 台中港三井Outlet,24.2592666,120.5178132,台中市,梧棲區,臺中市梧棲區臺灣大道十段168號,04-26566378,"['星期一 11:00-21:30', '星期二 11:00-21:30', '星期三 11:00-21:30', '星期四 11:00-21:30', '星期五 11:00-21:30', '星期六 10:30-21:30', '星期日 10:30-21:30']",4.4,1398,food_image/但馬屋涮涮鍋 台中港三井Outlet.jpg
卡啡那 Caffaina Coffee 惠來店,24.1556964,120.6412119,台中市,西屯區,臺中市西屯區惠中路二段45號,04-22598025,"['星期一 08:00-23:30', '星期二 08:00-23:30', '星期三 08:00-23:30', '星期四 08:00-23:30', '星期五 08:00-23:30', '星期六 08:00-23:30', '星期日 08:00-23:30']",4.3,200,food_image/卡啡那 Caffaina Coffee 惠來店.jpg
森森燒肉MoriMoriYakiniku 中科店,24.1848749,120.6093828,台中市,西屯區,臺中市西屯區臺灣大道四段1316號,04-24631316,"['星期一 11:00-23:30', '星期二 11:00-23:30', '星期三 11:00-23:30', '星期四 11:00-23:30', '星期五 11:00-23:30', '星期六 11:00-23:30', '星期日 11:00-23:30']",4.7,1500,food_image/森森燒肉MoriMoriYakiniku 中科店.jpg
阿裕寿司,24.1610072,120.6647793,台中市,北區,臺中市北區西屯路一段361號,04-23267531,"['星期一 休息', '星期二 10:00-20:00', '星期三 10:00-20:00', '星期四 10:00-20:00', '星期五 10:00-20:00', '星期六 10:00-20:00', '星期日 10:00-20:00']",4.3,50,food_image/阿裕寿司.jpg
茶六燒肉堂 公益店,24.1510143,120.6543767,台中市,西區,臺中市西區公益路268號,04-23281167,"['星期一 00:00-02:00, 11:00-00:00', '星期二 00:00-02:00, 11:00-00:00', '星期三 00:00-02:00, 11:00-00:00', '星期四 00:00-02:00, 11:00-00:00', '星期五 00:00-02:00, 11:00-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.6,800,food_image/茶六燒肉堂 公益店.jpg
燒肉SMILE 台中沙鹿店,24.2270649,120.5732941,台中市,沙鹿區,台中市沙鹿區北英路97號,04-26335055,"['星期一 00:00-02:00, 11:00-00:00', '星期二 00:00-02:00, 11:00-00:00', '星期三 00:00-02:00, 11:00-00:00', '星期四 00:00-02:00, 11:00-00:00', '星期五 00:00-02:00, 11:00-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.9,1200,food_image/燒肉SMILE 台中沙鹿店.jpg
拾七 石頭火鍋,24.1491692,120.6332934,台中市,南屯區,台中市南屯區永春東七路855號,04-23862147,"['星期一 00:00-02:00, 11:00-00:00', '星期二 00:00-02:00, 11:00-00:00', '星期三 00:00-02:00, 11:00-00:00', '星期四 00:00-02:00, 11:00-00:00', '星期五 00:00-02:00, 11:00-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.2,300,food_image/拾七 石頭火鍋.jpg
凱恩斯岩燒餐廳,24.1513084,120.6344268,台中市,南屯區,臺中市南屯區公益路二段536號,04-22543838,"['星期一 11:30-22:00', '星期二 11:30-22:00', '星期三 11:30-22:00', '星期四 11:30-22:00', '星期五 11:30-22:00', '星期六 11:30-22:00', '星期日 11:30-22:00']",4.5,1100,food_image/凱恩斯岩燒餐廳.jpg
老四川巴蜀麻辣燙 公益店,24.1507784,120.6553266,台中市,西區,臺中市西區公益路343號,04-23198789,"['星期一 00:00-07:00, 11:30-00:00', '星期二 00:00-07:00, 11:30-00:00', '星期三 00:00-07:00, 11:30-00:00', '星期四 00:00-07:00, 11:30-00:00', '星期五 00:00-07:00, 11:30-00:00', '星期六 00:00-07:00, 11:30-00:00', '星期日 00:00-07:00, 11:30-00:00']",4.2,500,food_image/老四川巴蜀麻辣燙 公益店.jpg
嵐山熟成牛かつ專売 台中南屯大墩店,24.1487669,120.6491544,台中市,南屯區,臺中市南屯區大墩十一街255號1樓,04-23100777,"['星期一 11:30-14:00, 17:00-20:30', '星期二 11:30-14:00, 17:00-20:30', '星期三 11:30-14:00, 17:00-20:30', '星期四 11:30-14:00, 17:00-20:30', '星期五 11:30-14:00, 17:00-20:30', '星期六 11:30-14:30, 17:00-20:30', '星期日 11:30-14:30, 17:00-20:30']",4.7,450,food_image/嵐山熟成牛かつ專売 台中南屯大墩店.jpg
安妮公主花園,24.1679216,120.8309034,台中市,新社區,臺中市新社區中興街223號,04-25931567,"['星期一 10:00-18:00', '星期二 10:00-18:00', '星期三 10:00-18:00', '星期四 10:00-18:00', '星期五 10:00-18:00', '星期六 10:00-19:00', '星期日 10:00-19:00']",4.4,500,food_image/安妮公主花園.jpg
