name,latitude,longitude,area_1,area_2,address,phone,opening_hours_all,rating,avg_price
和牛涮 台北忠孝東店,25.041307,121.54799,台北市,大安區,臺北市大安區忠孝東路四段128號2樓,0227511759,"['星期一 11:30-23:00', '星期二 11:30-23:00', '星期三 11:30-23:00', '星期四 11:30-23:00', '星期五 11:30-00:00', '星期六 00:00-01:30, 11:00-00:00', '星期日 11:00-23:00, 00:00-01:30']",4.6,700
TankQ Cafe & Bar,25.0506855,121.5320188,台北市,中山區,臺北市中山區松江路90巷3之2號,0225219930,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']",4.5,350
米朗琪咖啡館,25.0532033,121.5208739,台北市,中山區,臺北市中山區中山北路二段16巷23號,0225673787,"['星期一 09:30-17:00', '星期二 09:30-17:00', '星期三 09:30-17:00', '星期四 09:30-17:00', '星期五 09:30-17:00', '星期六 09:30-18:00', '星期日 09:30-18:00']",4.1,400
涮樂和牛鍋物 西門店,25.0436036,121.5071821,台北市,萬華區,臺北市萬華區峨眉街37號3樓,0223112375,"['星期一 11:30-00:00', '星期二 11:30-00:00', '星期三 11:30-00:00', '星期四 11:30-00:00', '星期五 11:30-00:00', '星期六 11:30-00:00', '星期日 11:30-00:00']",4.8,500
富宏牛肉麵,25.0476197,121.5077358,台北市,萬華區,臺北市萬華區洛陽街69號,0223713028,"['星期一 24小時營業', '星期二 24小時營業', '星期三 24小時營業', '星期四 24小時營業', '星期五 24小時營業', '星期六 24小時營業', '星期日 24小時營業']",4.4,130
新東南海鮮餐廳,25.0289418,121.5087358,台北市,中正區,臺北市中正區汀州路一段105號,0223014239,"['星期一 11:30-14:00, 17:00-21:30', '星期二 11:30-14:00, 17:00-21:30', '星期三 11:30-14:00, 17:00-21:30', '星期四 11:30-14:00, 17:00-21:30', '星期五 11:30-14:00, 17:00-21:30', '星期六 11:30-14:00, 17:00-21:30', '星期日 11:30-14:00, 17:00-21:30']",4.4,980
雙月食品社 八德店,25.0483368,121.5472888,台北市,松山區,臺北市松山區八德路二段447之1號,0227716862,"['星期一 11:00-14:00, 17:00-20:00', '星期二 11:00-14:00, 17:00-20:00', '星期三 11:00-14:00, 17:00-20:00', '星期四 11:00-14:00, 17:00-20:00', '星期五 11:00-14:00, 17:00-20:00', '星期六 11:00-14:00, 17:00-20:00', '星期日 11:00-14:00, 17:00-20:00']",4.8,500
Meat Up,25.0446517,121.5076793,台北市,萬華區,臺北市萬華區武昌街二段37號6樓,0908198398,"['星期一 11:00-21:00', '星期二 11:00-21:00', '星期三 11:00-21:00', '星期四 11:00-21:00', '星期五 11:00-21:00', '星期六 10:00-21:00', '星期日 10:00-21:00']",4.4,500
柒串燒屋,25.0483568,121.5273888,台北市,中山區,臺北市中山區長安東路一段46之1號,0225672770,"['星期一 00:00-01:30, 18:00-00:00', '星期二 00:00-01:30, 18:00-00:00', '星期三 00:00-01:30, 18:00-00:00', '星期四 00:00-01:30, 18:00-00:00', '星期五 00:00-01:30, 18:00-00:00', '星期六 00:00-01:30, 18:00-00:00', '星期日 18:00-00:00, 00:00-01:30']",4.6,350
和牛涮 日式鍋物放題 台北羅斯福店,25.0279386,121.5220251,台北市,大安區,臺北市大安區羅斯福路二段27號,0223910269,"['星期一 11:30-23:30', '星期二 11:30-23:30', '星期三 11:30-23:30', '星期四 11:30-23:30', '星期五 11:30-02:00', '星期六 11:30-02:00', '星期日 11:30-23:30']",4.9,545
覺旅咖啡 Journey Kaffe 陽光店,25.071568,121.577805,台北市,內湖區,臺北市內湖區陽光街321巷42號,0287526606,"['星期一 11:00-20:00', '星期二 11:00-20:00', '星期三 11:00-20:00', '星期四 11:00-20:00', '星期五 11:00-20:00', '星期六 11:00-20:00', '星期日 11:00-20:00']",4.3,300
享鴨 烤鴨與中華料理,25.041307,121.54799,台北市,大安區,台北市大安區忠孝東路四段128號2樓,0227118823,"['星期一 11:30-14:30, 17:30-22:00', '星期二 11:30-14:30, 17:30-22:00', '星期三 11:30-14:30, 17:30-22:00', '星期四 11:30-14:30, 17:30-22:00', '星期五 11:30-14:30, 17:30-22:00', '星期六 11:00-14:30, 17:00-22:00', '星期日 11:00-14:30, 17:00-22:00']",4.7,700
十二廚 (喜來登大飯店),25.0446184,121.5220051,台北市,中正區,臺北市中正區忠孝東路一段12號,0223211818,"['星期一 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00', '星期二 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00', '星期三 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00', '星期四 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00', '星期五 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00', '星期六 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00', '星期日 06:30-10:00, 11:30-14:00, 15:00-17:00, 18:00-21:00']",3.8,1700
金色三麥 台北京站店,25.049308,121.5171935,台北市,大同區,臺北市大同區承德路一段1號,0277370909,"['星期一 11:00-23:00', '星期二 11:00-23:00', '星期三 11:00-23:00', '星期四 11:00-23:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-23:00']",4.1,500
尬鍋 台式潮鍋 台北西門店,25.045564,121.508804,台北市,萬華區,臺北市萬華區中華路一段78號1樓,0223882252,"['星期一 11:30-22:00', '星期二 11:30-22:00', '星期三 11:30-22:00', '星期四 11:30-22:00', '星期五 11:30-00:00', '星期六 11:00-00:00', '星期日 11:00-22:00']",4.6,500
蘇阿姨比薩屋,25.0391419,121.5574355,台北市,大安區,臺北市大安區光復南路300號,0227402328,"['星期一 休息', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']",4.1,400
台北晶華酒店 Regent Taipei,25.054157999999997,121.524288,台北市,中山區,臺北市中山區中山北路二段39巷3號,0225238000,"['星期一 24小時營業', '星期二 24小時營業', '星期三 24小時營業', '星期四 24小時營業', '星期五 24小時營業', '星期六 24小時營業', '星期日 24小時營業']",4.5,900
一蘭 台灣台北本店,25.036185399999997,121.5692534,台北市,信義區,臺北市信義區松仁路97號,0227583868,"['星期一 00:00-05:00, 10:00-00:00', '星期二 00:00-05:00, 10:00-00:00', '星期三 00:00-05:00, 10:00-00:00', '星期四 00:00-05:00, 10:00-00:00', '星期五 24小時營業', '星期六 24小時營業', '星期日 24小時營業']",4.1,200
金峰魯肉飯,25.0320264,121.5184989,台北市,中正區,臺北市中正區羅斯福路一段10號,0223960808,"['星期一 00:00-01:00', '星期二 11:00-00:00', '星期三 00:00-01:00, 11:00-00:00', '星期四 00:00-01:00, 11:00-00:00', '星期五 00:00-01:00, 11:00-00:00', '星期六 00:00-01:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-01:00']",3.6,100
阿宗麵線,25.0432921,121.5077098,台北市,萬華區,臺北市萬華區峨眉街8之1號,0223888808,"['星期一 08:30-22:30', '星期二 08:30-22:30', '星期三 08:30-22:30', '星期四 08:30-22:30', '星期五 08:30-23:00', '星期六 08:30-23:00', '星期日 08:30-23:00']",4.0,60
和牛涮 日式鍋物放題 台北林森北店,25.0545006,121.5253169,台北市,中山區,臺北市中山區林森北路258號2樓,0225625657,"['星期一 11:30-23:30', '星期二 11:30-23:30', '星期三 11:30-23:30', '星期四 11:30-23:30', '星期五 11:30-02:00', '星期六 11:30-02:00', '星期日 11:30-23:30']",4.6,650
龍都酒樓,25.0503539,121.5244483,台北市,中山區,臺北市中山區中山北路一段105巷18之1號,0225639293,"['星期一 11:30-14:30, 17:30-21:30', '星期二 11:30-14:30, 17:30-21:30', '星期三 11:30-14:30, 17:30-21:30', '星期四 11:30-14:30, 17:30-21:30', '星期五 11:30-14:30, 17:30-21:30', '星期六 11:20-12:50, 13:10-14:30, 17:30-19:10, 19:30-21:30', '星期日 11:20-12:50, 13:10-14:30, 17:30-19:10, 19:30-21:30']",4.2,750
Broccoli Beer 韓國餐酒食堂,25.04767499999999,121.532725,台北市,中山區,臺北市中山區松江路40號1樓,0225236878,"['星期一 11:30-15:00, 17:30-23:30', '星期二 11:30-15:00, 17:30-23:30', '星期三 11:30-15:00, 17:30-23:30', '星期四 11:30-15:00, 17:30-23:30', '星期五 11:30-15:00, 17:00-00:00', '星期六 11:30-15:30, 17:00-00:00', '星期日 11:30-15:30, 17:00-23:30']",4.4,550
漢來海港餐廳 天母店,25.1046655,121.5245169,台北市,士林區,臺北市士林區中山北路六段77號7樓,0741280682,"['星期一 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期二 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期三 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期四 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期五 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期六 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期日 11:30-14:00, 14:30-16:30, 17:30-21:30']",4.3,1045
辛殿麻辣鍋,25.0539109,121.5332619,台北市,中山區,臺北市中山區松江路129之4號,0225037667,"['星期一 00:00-01:30, 11:30-00:00', '星期二 00:00-01:30, 11:30-00:00', '星期三 00:00-01:30, 11:30-00:00', '星期四 00:00-01:30, 11:30-00:00', '星期五 00:00-01:30, 11:30-00:00', '星期六 00:00-01:30, 11:30-00:00', '星期日 11:30-00:00, 00:00-01:30']",4.2,750
Intention,25.0410494,121.549299,台北市,大安區,臺北市大安區敦化南路一段219號2樓,0287727265,"['星期一 休息', '星期二 00:00-01:00, 17:00-00:00', '星期三 00:00-01:00, 17:00-00:00', '星期四 00:00-01:00, 17:00-00:00', '星期五 00:00-02:00, 17:00-00:00', '星期六 00:00-02:00, 17:00-00:00', '星期日 17:00-00:00, 00:00-01:00']",4.8,1500
雙月食品社 濟南店,25.0427329,121.5219127,台北市,中正區,臺北市中正區濟南路一段7號1樓,0233938952,"['星期一 11:00-14:00, 17:00-20:00', '星期二 11:00-14:00, 17:00-20:00', '星期三 11:00-14:00, 17:00-20:00', '星期四 11:00-14:00, 17:00-20:00', '星期五 11:00-14:00, 17:00-20:00', '星期六 11:00-14:00, 17:00-20:00', '星期日 11:00-14:00, 17:00-20:00']",4.8,300
燒肉ChaCha 個人和牛燒肉專賣,25.04334699999999,121.506245,台北市,萬華區,臺北市萬華區西寧南路161號1樓,0223112501,"['星期一 11:00-00:00', '星期二 11:00-00:00', '星期三 11:00-00:00', '星期四 11:00-00:00', '星期五 11:00-00:00', '星期六 11:00-00:00', '星期日 11:00-00:00']",4.6,600
RAW,25.0828183,121.5593386,台北市,中山區,臺北市中山區樂群三路301號,0285015800,"['星期一 休息', '星期二 休息', '星期三 11:30-14:30, 18:00-22:00', '星期四 11:30-14:30, 18:00-22:00', '星期五 11:30-14:30, 18:00-22:00', '星期六 11:30-14:30, 18:00-22:00', '星期日 11:30-14:30, 18:00-22:00']",4.4,3500
IKIGAI 燒肉專門店,25.1118264,121.5315215,台北市,士林區,臺北市士林區忠誠路二段55號B1,0228311698,"['星期一 11:00-21:00', '星期二 11:00-21:00', '星期三 11:00-21:00', '星期四 11:00-21:00', '星期五 11:00-21:00', '星期六 11:00-21:00', '星期日 11:00-21:00']",4.9,500
Solo Pasta 義大利麵,25.0391961,121.5506541,台北市,大安區,臺北市大安區安和路一段29之1號,0227753645,"['星期一 11:30-15:00, 17:30-22:00', '星期二 11:30-15:00, 17:30-22:00', '星期三 11:30-15:00, 17:30-22:00', '星期四 11:30-15:00, 17:30-22:00', '星期五 11:30-15:00, 17:30-22:00', '星期六 11:30-22:00', '星期日 11:30-22:00']",4.4,700
焼肉スマイル（燒肉Smile） 台北忠孝店,25.04139799999999,121.578408,台北市,信義區,臺北市信義區忠孝東路五段497號2樓,0287852227,"['星期一 00:00-04:00, 11:00-00:00', '星期二 00:00-04:00, 11:00-00:00', '星期三 00:00-04:00, 11:00-00:00', '星期四 00:00-04:00, 11:00-00:00', '星期五 00:00-04:00, 11:00-00:00', '星期六 00:00-04:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-04:00']",4.7,650
新丼,25.0501884,121.5196278,台北市,大同區,臺北市大同區長安西路66號1F,0225559292,"['星期一 11:30-21:00', '星期二 11:30-21:00', '星期三 11:30-21:00', '星期四 11:30-21:00', '星期五 11:30-21:00', '星期六 11:30-21:00', '星期日 11:30-21:00']",4.3,200
漢來海港 敦化店,25.0401977,121.5483698,台北市,大安區,臺北市大安區敦化南路1段246號6樓,,"['星期一 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期二 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期三 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期四 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期五 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期六 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期日 11:30-14:00, 14:30-16:30, 17:30-21:30']",4.1,1300
韓金館,25.0500842,121.5274333,台北市,中山區,臺北市中山區林森北路119巷68號,0225361997,"['星期一 00:00-02:00, 17:30-00:00', '星期二 00:00-02:00, 17:30-00:00', '星期三 00:00-02:00, 17:30-00:00', '星期四 00:00-02:00, 17:30-00:00', '星期五 00:00-02:00, 17:30-00:00', '星期六 00:00-02:00, 17:30-00:00', '星期日 17:30-00:00, 00:00-02:00']",4.4,900
三味食堂,25.0398867,121.5026525,台北市,萬華區,臺北市萬華區貴陽街二段116號,0223892211,"['星期一 休息', '星期二 11:20-14:30, 17:10-21:00', '星期三 11:20-14:30, 17:10-21:00', '星期四 11:20-14:30, 17:10-21:00', '星期五 11:20-14:30, 17:10-21:00', '星期六 11:20-14:30, 17:10-21:00', '星期日 11:20-14:30, 17:10-21:00']",4.2,500
初瓦 台北捷運西門店,25.0447232,121.5084739,台北市,萬華區,臺北市萬華區中華路一段90號2樓,0223822228,"['星期一 11:30-15:30, 17:30-23:00', '星期二 11:30-15:30, 17:30-23:00', '星期三 11:30-15:30, 17:30-23:00', '星期四 11:30-15:30, 17:30-23:00', '星期五 11:30-15:30, 17:00-23:00', '星期六 11:00-23:30', '星期日 11:00-23:30']",4.5,800
上引水產 (立吞),25.0667079,121.5370059,台北市,中山區,臺北市中山區民族東路410巷2弄18號,0225956888,"['星期一 07:00-22:30', '星期二 07:00-22:30', '星期三 07:00-22:30', '星期四 07:00-22:30', '星期五 07:00-22:30', '星期六 07:00-22:30', '星期日 07:00-22:30']",4.1,500
肉次方 燒肉放題,25.0436641,121.5072017,台北市,萬華區,臺北市萬華區峨眉街37號4樓,0223889010,"['星期一 11:30-23:00', '星期二 11:30-23:00', '星期三 11:30-23:00', '星期四 11:30-23:00', '星期五 11:00-00:00', '星期六 00:00-01:00, 11:00-00:00', '星期日 11:00-23:00, 00:00-01:00']",4.4,890
JAPOLI義大利餐酒館,25.0421055,121.5453407,台北市,大安區,臺北市大安區忠孝東路四段49巷2號B1,0227316633,"['星期一 11:30-22:30', '星期二 11:30-22:30', '星期三 11:30-22:30', '星期四 11:30-22:30', '星期五 11:30-22:30', '星期六 11:30-22:30', '星期日 11:30-22:30']",4.5,750
佐藤精肉店 akiba,25.0435024,121.5319214,台北市,中正區,台北市中正區八德路一段82巷9弄8號2樓,0223563036,"['星期一 11:00-20:30', '星期二 11:00-20:30', '星期三 11:00-20:30', '星期四 11:00-20:30', '星期五 11:00-20:30', '星期六 11:00-20:30', '星期日 11:00-20:30']",4.5,215
嚮辣 和牛麻辣鍋 台北松江店,25.0542505,121.5332802,台北市,中山區,臺北市中山區松江路131之1號,0225151658,"['星期一 00:00-02:00, 11:30-00:00', '星期二 00:00-02:00, 11:30-00:00', '星期三 00:00-02:00, 11:30-00:00', '星期四 00:00-02:00, 11:30-00:00', '星期五 00:00-02:00, 11:30-00:00', '星期六 00:00-02:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-02:00']",4.6,1100
丼賞和食,25.0517646,121.53386099999999,台北市,中山區,台北市中山區南京東路二段140號,0225175526,"['星期一 11:00-14:15, 17:30-21:00', '星期二 11:00-14:15, 17:30-21:00', '星期三 11:00-14:15, 17:30-21:00', '星期四 11:00-14:15, 17:30-21:00', '星期五 11:00-14:15, 17:30-21:00', '星期六 11:00-14:15, 17:30-21:00', '星期日 11:00-14:15, 17:30-21:00']",4.3,500
詹記麻辣火鍋 敦南店,25.0243099,121.5490842,台北市,大安區,臺北市大安區和平東路三段60號,0223777799,"['星期一 00:00-01:00, 12:00-00:00', '星期二 00:00-01:00, 12:00-00:00', '星期三 00:00-01:00, 12:00-00:00', '星期四 00:00-01:00, 12:00-00:00', '星期五 00:00-01:00, 12:00-00:00', '星期六 00:00-01:00, 12:00-00:00', '星期日 12:00-00:00, 00:00-01:00']",4.4,800
IKEA餐廳 台北城市店-小巨蛋,25.0523441,121.5484703,台北市,松山區,臺北市松山區敦化北路100號B1,,"['星期一 10:00-21:30', '星期二 10:00-21:30', '星期三 10:00-21:30', '星期四 10:00-21:30', '星期五 10:00-22:00', '星期六 10:00-22:00', '星期日 10:00-21:30']",4.0,150
螺絲瑪莉義麵坊,25.0517642,121.5219695,台北市,中山區,臺北市中山區南京西路12巷13弄9號,0225219822,"['星期一 11:30-14:30, 17:30-20:30', '星期二 11:30-14:30, 17:30-20:30', '星期三 11:30-14:30, 17:30-20:30', '星期四 11:30-14:30, 17:30-20:30', '星期五 11:30-14:30, 17:30-20:30', '星期六 11:30-14:30, 17:30-20:30', '星期日 11:30-14:30, 17:30-20:30']",4.4,500
瓦法奇朵,25.0447679,121.5156272,台北市,中正區,臺北市中正區信陽街29號,0223110215,"['星期一 11:30-22:00', '星期二 11:30-22:00', '星期三 11:30-22:00', '星期四 11:30-22:00', '星期五 11:30-22:00', '星期六 11:30-22:00', '星期日 11:30-22:00']",4.6,800
龍都酒樓內湖店,25.0584684,121.5798233,台北市,內湖區,臺北市內湖區舊宗路一段58號,0227963623,"['星期一 11:30-14:30, 18:00-21:30', '星期二 11:30-14:30, 18:00-21:30', '星期三 11:30-14:30, 18:00-21:30', '星期四 11:30-14:30, 18:00-21:30', '星期五 11:30-14:30, 18:00-21:30', '星期六 11:30-14:30, 18:00-21:30', '星期日 11:30-14:30, 18:00-21:30']",4.2,600
問鼎麻辣養生鍋,25.0412535,121.5525003,台北市,大安區,臺北市大安區忠孝東路4段210號2樓,0227312107,"['星期一 11:30-00:00', '星期二 11:30-00:00', '星期三 11:30-00:00', '星期四 11:30-00:00', '星期五 11:30-00:00', '星期六 11:30-00:00', '星期日 11:30-00:00']",4.5,600
惡犬食堂,25.04070249999999,121.5538344,台北市,大安區,臺北市大安區忠孝東路四段216巷11弄18號,0227791222,"['星期一 00:00-01:00, 18:00-00:00', '星期二 00:00-01:00, 18:00-00:00', '星期三 00:00-01:00, 18:00-00:00', '星期四 00:00-01:00, 18:00-00:00', '星期五 00:00-01:00, 18:00-00:00', '星期六 00:00-02:00, 18:00-00:00', '星期日 18:00-00:00, 00:00-02:00']",4.1,800
大直典華,25.0837472,121.5548008,台北市,中山區,臺北市中山區植福路8號,0285025555,"['星期一 10:00-21:00', '星期二 10:00-21:00', '星期三 10:00-21:00', '星期四 10:00-21:00', '星期五 10:00-21:00', '星期六 10:00-21:00', '星期日 10:00-21:00']",4.3,2000
泰街頭,25.0197316,121.5321851,台北市,大安區,臺北市大安區溫州街74巷6號1樓,0223676997,"['星期一 11:30-14:30, 17:00-21:00', '星期二 11:30-14:30, 17:00-21:00', '星期三 11:30-14:30, 17:00-21:00', '星期四 11:30-14:30, 17:00-21:00', '星期五 11:30-14:30, 17:00-21:00', '星期六 11:30-14:30, 17:00-21:00', '星期日 11:30-14:30, 17:00-21:00']",4.1,200
金洹苑 KIN KAN EN,25.04292,121.5554503,台北市,大安區,臺北市大安區延吉街131巷31號,0287720109,"['星期一 11:45-14:30, 17:30-22:00', '星期二 11:45-14:30, 17:30-22:00', '星期三 11:45-14:30, 17:30-22:00', '星期四 11:45-14:30, 17:30-00:00', '星期五 11:45-14:30, 17:30-00:00', '星期六 11:45-14:30, 17:30-00:00', '星期日 11:45-14:30, 17:30-00:00']",4.6,1500
新千葉火鍋 西門店,25.043666,121.5054195,台北市,萬華區,臺北市萬華區峨眉街52號7樓,0223317288,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']",4.3,499
台北凱撒大飯店,25.0461817,121.5164254,台北市,中正區,臺北市中正區忠孝西路一段38號,0223115151,[],3.9,600
好市多 內湖店,25.06427159999999,121.5758463,台北市,內湖區,臺北市內湖區舊宗路一段268號,None,"['星期一 10:00-21:30', '星期二 10:00-21:30', '星期三 10:00-21:30', '星期四 10:00-21:30', '星期五 10:00-21:30', '星期六 10:00-21:30', '星期日 10:00-21:30']",4.2,0
十巷咖哩,25.0641887,121.5236606,台北市,中山區,臺北市中山區雙城街10巷25之1號,0970218755,"['星期一 11:30-21:30', '星期二 11:30-21:30', '星期三 11:30-21:30', '星期四 11:30-21:30', '星期五 11:30-21:30', '星期六 11:30-21:30', '星期日 11:30-21:30']",4.3,195
景美夜市,24.9906733,121.5417191,台北市,文山區,臺北市文山區景美街,0286636734,"['星期一 00:00-01:00, 17:00-00:00', '星期二 00:00-01:00, 17:00-00:00', '星期三 00:00-01:00, 17:00-00:00', '星期四 00:00-01:00, 17:00-00:00', '星期五 00:00-01:00, 17:00-00:00', '星期六 00:00-01:00, 17:00-00:00', '星期日 17:00-00:00, 00:00-01:00']",4.0,0
O Sushi 松菸店,25.044545,121.5614574,台北市,信義區,臺北市信義區菸廠路88號3樓,0266365888,"['星期一 11:00-22:00', '星期二 11:00-22:00', '星期三 11:00-22:00', '星期四 11:00-22:00', '星期五 11:00-22:00', '星期六 11:00-22:00', '星期日 11:00-22:00']",4.3,0
欣葉日本料理,25.0533768,121.5574342,台北市,松山區,臺北市松山區健康路156號,0227663666,"['星期一 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期二 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期三 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期四 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期五 11:30-14:00, 14:30-16:30, 17:30-21:30', '星期六 11:30-14:00, 14:30-16:30, 17:10-21:30', '星期日 11:30-14:00, 14:30-16:30, 17:10-21:30']",4.1,900
南門市場,25.0326777,121.5229875,台北市,大安區,臺北市大安區杭州南路二段55號,0223218069,"['星期一 休息', '星期二 07:00-19:00', '星期三 07:00-19:00', '星期四 07:00-19:00', '星期五 07:00-19:00', '星期六 07:00-19:00', '星期日 07:00-19:00']",4.2,30
沾美西餐廳,25.0382358,121.54743,台北市,大安區,臺北市大安區仁愛路四段77號B1樓,0227117750,"['星期一 11:30-15:00, 17:30-22:30', '星期二 11:30-15:00, 17:30-22:30', '星期三 11:30-15:00, 17:30-22:30', '星期四 11:30-15:00, 17:30-22:30', '星期五 11:30-15:00, 17:30-22:30', '星期六 11:30-15:00, 17:30-22:30', '星期日 11:30-15:00, 17:30-22:30']",4.5,2000
麵屋一燈 Menya Itto Taiwan,25.0524048,121.5243965,台北市,中山區,臺北市中山區南京東路一段29號,0225116161,"['星期一 00:00-01:00, 11:00-00:00', '星期二 00:00-01:00, 11:00-00:00', '星期三 00:00-01:00, 11:00-00:00', '星期四 00:00-01:00, 11:00-00:00', '星期五 00:00-01:00, 11:00-00:00', '星期六 00:00-01:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-01:00']",4.0,300
青花驕 麻辣火鍋 台北中山北店,25.051733,121.522787,台北市,中山區,臺北市中山區中山北路一段137號,0225111097,"['星期一 00:00-01:00, 11:30-00:00', '星期二 00:00-01:00, 11:30-00:00', '星期三 00:00-01:00, 11:30-00:00', '星期四 00:00-01:00, 11:30-00:00', '星期五 00:00-01:00, 11:30-00:00', '星期六 00:00-01:00, 11:00-00:00', '星期日 11:00-00:00, 00:00-01:00']",4.6,800
